label,num,date,vtg1,vtg2,vtg3,vtg4,vtg5,vtg6,vtg7,vtg8,vtg9,vtg10,crt1,crt2,crt3,crt4,crt5,crt6,crt7,crt8,crt9,
0,1,20230503,13.7,13.7,13.7,13.1,13.1,13.1,13.1,13.2,,,173.3,173.3,173.3,177.5,175.8,175.8,175.8,173.7,,
0,2,20230503,15.2,15.2,15.2,13.1,13.1,13.6,13.6,13.6,,,168.3,168.3,168.3,177.9,174.5,175,175,175,,
1,3,20230503,13.6,13.6,13.1,13,13.1,13.1,,,,,175.4,175.4,175,175.8,175.8,174.1,,,,
1,4,20230503,13.2,13.1,13.1,13.4,13.3,13.2,13.4,13.4,13.4,,173.3,174.5,173.7,173.7,173.7,175,130.8,130.8,130.8,
1,5,20230503,13.2,13.1,13.3,13.3,13.5,13.1,13.2,,,,173.3,174.5,172.9,173.3,175.4,175.4,155,,,
1,6,20230503,13.6,13.6,13.1,13.3,13.2,13.3,13.2,13.3,,,172.5,172.5,176.2,172.9,173.7,176.2,175.8,174.1,,
0,7,20230503,14.9,14.9,14.9,14.9,13.1,13.2,13.1,13.1,,,169.5,169.5,169.5,169.5,177.9,174.1,174.5,175.8,,
0,8,20230503,14.5,14.5,14.5,13.2,13.2,13.2,13.2,13.4,,,169.5,169.5,169.5,173.3,173.3,173.3,173.3,173.7,,
1,9,20230503,13,13.1,13.4,13.9,13.5,13.5,13.3,,,,174.1,175.8,175,175,176.6,176.2,138.7,,,
1,10,20230503,13.5,13.3,13.3,13.3,12.9,13.2,13.1,,,,174.1,174.5,174.5,174.5,176.2,174.1,177.9,,,
0,11,20230503,14,14,13.2,13.2,13.5,13.1,13.3,13.2,,,170.8,170.8,174.1,174.5,173.3,175.4,175.4,175.8,,
1,12,20230503,13.3,13.3,13.2,13.3,13.2,13.2,13.2,,,,174.1,174.1,174.1,173.7,175.4,175.4,175.4,,,
0,13,20230503,13.2,15.7,15.7,15.7,13.1,13.1,13.5,13.5,13.5,,175.4,168.3,168.3,168.3,174.5,175,174.1,174.1,174.1,
0,14,20230503,13.1,13.2,13.3,13.1,13.3,13.2,13.2,13.2,,,175,174.1,171.6,175.4,173.7,177,177,177,,
1,15,20230503,13.4,13.4,13.1,13.5,13.1,13.5,13.1,13.1,13.1,,177.5,177.5,173.7,177,175,174.1,161.6,161.6,161.6,
0,16,20230503,13.4,13.4,13.4,13.3,13.2,13.3,13.3,,,,173.7,173.7,173.7,173.3,177,175,173.3,,,
1,17,20230503,13.6,13.6,13.3,13.2,13.1,13.1,13.1,,,,177.5,177.5,173.7,173.7,175.4,177.5,123.7,,,
0,18,20230503,13.5,13.5,13.4,13.2,13.5,12.9,13.1,,,,173.7,173.7,173.7,174.5,174.1,176.2,173.3,,,
0,19,20230503,13.2,13.1,13.2,13,13.2,13.1,13.1,,,,173.3,176.2,175.4,173.3,176.6,173.3,135,,,
1,20,20230503,13.1,13.1,13.2,13.3,13.1,13.5,13.1,,,,178.3,174.5,174.1,177.5,173.3,176.2,131.6,,,
1,21,20230503,13.3,13.3,13.1,13,13.1,,,,,,173.7,173.7,173.3,174.1,176.2,,,,,
1,22,20230503,14.3,14.3,14.3,13.5,13.4,13.4,13.3,13.3,,,172.5,172.5,172.5,175.8,175,175.4,174.1,174.1,,
1,23,20230503,13.1,13.2,13.1,13.5,13.3,13.2,13,,,,176.2,177,174.1,174.1,173.7,175.4,122.9,,,
0,24,20230503,13.5,13.5,13,13,13.1,13.1,13.2,,,,174.5,174.5,176.2,171.2,172.5,176.6,175.4,,,
1,25,20230503,13.6,13,13.3,13.3,13.4,13.2,13,,,,175,177,177.9,173.7,177,173.3,174.1,,,
0,26,20230503,13.1,13.3,13.3,13.3,13.2,13.2,13.2,,,,174.1,174.1,176.6,172.5,173.3,174.1,129.5,,,
0,27,20230503,13.3,13.3,13.3,13.1,13.2,13.1,12.8,,,,176.2,176.2,175.4,177,173.3,172.9,170.8,,,
0,28,20230503,13.1,13.1,13.2,13.1,13.2,13.1,13.2,,,,174.1,177.5,177.9,175,175,177,174.1,,,
0,29,20230503,13.2,13.2,13.2,13.1,13.3,13.1,13.1,,,,176.6,176.6,176.2,173.3,176.2,174.1,177.9,,,
1,30,20230503,14.6,14.6,14.6,14.6,13.4,13.1,13.2,13.1,,,167,167,167,167,173.7,175.4,175,174.1,,
1,31,20230503,13.6,13.6,13.1,13.2,13.2,13.2,13.6,13.1,,,171.2,171.2,173.3,173.7,173.7,173.7,177,150.4,,
1,32,20230503,13.1,13.3,13.5,13.1,13.3,12.9,13,13,13,,174.5,174.5,176.6,174.5,174.1,174.5,171.2,171.2,171.2,
1,33,20230503,13.1,13.1,13.4,13.2,13.1,13.1,13.1,,,,174.1,175,173.3,176.6,174.5,174.5,174.5,,,
0,34,20230503,13.2,13.1,13.1,13.1,13.2,13.3,13.3,13.3,,,172.9,173.7,174.1,175.8,174.1,176.2,176.2,176.2,,
1,35,20230503,13.3,13.2,13,13,13.1,13,13,13,13,,174.5,177,174.1,173.7,175,175.4,170.4,170.4,170.4,
0,36,20230503,13.1,13.1,13.3,13.3,13.2,,,,,,171.2,171.2,175.4,174.1,138.3,,,,,
0,37,20230503,13.1,13.1,13.1,13.1,13.1,13.2,13.2,13.3,,,174.5,176.2,173.7,173.7,173.7,174.1,174.1,175.4,,
1,38,20230503,13.4,13.5,13.1,13.1,13.1,13.2,,,,,177.5,176.2,172.9,172.9,172.9,171.2,,,,
0,39,20230503,13.5,13.5,13.6,13.1,13.2,13.2,,,,,177.9,177.9,172,173.3,173.7,172.9,,,,
0,40,20230503,13.1,13.1,13.1,13.2,13.1,13.3,13.4,,,,175.8,175.8,175,177.9,177.9,173.7,173.7,,,
0,41,20230503,13.2,13.1,13.2,13.2,13.2,13.2,13.7,12.9,,,173.3,177,173.3,168.3,174.1,172.5,174.1,120.4,,
0,42,20230503,13.3,13.1,12.5,12.8,13,12.8,,,,,177.9,172.5,172,174.1,175.8,121.6,,,,
1,43,20230503,13.1,13.3,13.2,13.1,13.7,19.9,,,,,176.6,176.2,177.9,176.6,167,162.9,,,,
1,44,20230503,19.9,13.1,13.1,13.2,13.5,13.5,13.5,12.9,,,162.9,172.9,175,177,175.8,175.8,175.8,120.8,,
0,45,20230503,12.6,12.6,13.1,13.2,13.1,13.6,13.1,13.1,13.1,,174.1,174.1,173.3,172.5,176.2,174.1,175,175,175,
1,46,20230503,13.3,13.3,13.2,13.2,13.7,13.1,13.4,,,,172.5,172.5,175.4,173.3,172.9,175,176.6,,,
1,47,20230503,13.2,12.9,13.3,13,13,13,13.4,,,,175.8,174.1,173.3,172.5,172.5,172.5,151.6,,,
0,48,20230503,13.2,13.2,13.2,13.2,13,12.9,13,,,,174.5,174.5,174.5,171.6,174.5,173.7,172.5,,,
0,49,20230503,13.7,13.7,13.3,13.1,13.1,13.1,13.2,13.5,,,164.1,164.1,175,174.5,176.6,177,173.7,175.8,,
0,50,20230503,13.5,13.5,13.5,13.2,12.7,12.8,13,,,,177,177,177,171.2,172.5,173.3,175.4,,,
0,51,20230503,13.1,13.1,13.1,13.3,13.2,13.2,13.2,13.2,13.2,,173.7,173.7,177,175,173.3,173.7,173.7,173.7,173.7,
0,52,20230503,13.1,13.1,13.6,13.5,13.1,13.1,13.4,,,,175.4,175,175.4,174.1,173.7,174.5,124.5,,,
1,53,20230503,13.1,13,13.1,13.1,13.1,13,,,,,172.9,172.5,176.6,172.9,172.9,172.9,,,,
0,54,20230503,13.4,13.4,13.1,13.2,13.6,13,13,13,13,,173.3,173.3,177.5,173.7,174.1,173.3,175,175,175,
1,55,20230503,13.1,13.1,12.8,13,12.6,12.5,12.9,,,,175,173.3,171.6,171.2,172,171.6,162,,,
1,56,20230503,13.2,13.1,13.1,13.1,13.1,13,12.9,,,,175.8,173.3,174.1,172.9,174.5,176.2,170.8,,,
1,57,20230503,13.1,13.1,13.2,13.6,13.2,13.3,,,,,177,177,174.1,174.1,174.1,173.7,,,,
0,58,20230503,13.5,13.5,13,12.7,13.2,13,13,,,,172.5,172.5,177.9,177.9,176.6,173.7,172.9,,,
1,59,20230503,12.9,13.2,13.2,13.1,13.2,13.1,12.9,,,,173.7,173.7,174.5,174.5,176.6,174.1,164.5,,,
1,60,20230503,13.1,13.1,13.2,13,13.2,13.3,13.2,,,,175.8,175.4,177.5,177,175.8,173.7,124.5,,,
0,61,20230503,13.3,13.3,13.3,13.4,13.3,13.2,13.1,,,,172.9,172.9,174.1,173.3,173.3,175,174.5,,,
1,62,20230503,13,13,13.3,13.5,13.5,13.1,13.2,,,,177,177,175,174.1,173.3,173.7,173.7,,,
0,63,20230503,12.9,12.9,13.1,13.1,12.7,13.3,13.2,,,,176.6,176.6,174.5,173.3,174.5,172,174.1,,,
1,64,20230503,13,13,13.1,13.1,13.1,13.1,,,,,172,172,174.1,173.3,175.4,176.2,,,,
0,65,20230503,13.1,13.1,13.1,13.1,13.2,13.6,13.6,,,,175,175,175,175,175.8,175.8,150.8,,,
1,66,20230503,13.3,13.3,13.1,13.3,13.3,13.1,13.1,13.1,,,173.7,173.7,172,173.3,174.5,176.6,176.6,176.6,,
1,67,20230503,13.3,13.2,13.2,13.9,13.4,13,13.1,,,,172,175.4,176.6,171.6,174.1,176.6,173.3,,,
1,68,20230503,13.5,13.5,13.6,13.2,13.3,13.2,13.3,,,,171.6,171.6,176.6,172.9,173.3,175.8,177.5,,,
1,69,20230503,13.6,13.6,13.6,13.3,13.2,13.4,13.2,13.3,,,174.1,174.1,174.1,175.8,174.5,172.9,172.9,133.7,,
1,70,20230503,14,14,13.2,13.4,13.4,13.4,13.3,13.1,,,173.7,173.7,174.5,172.9,172.9,172.9,173.7,173.7,,
0,71,20230503,13.5,13.5,13.1,13.4,13.6,13.5,13.2,13.4,13.4,13.4,175.4,175.4,174.5,173.7,172.9,176.6,175,141.6,141.6,141.6
1,72,20230503,13.5,13.5,13.5,13.3,13.6,13.5,13.1,13,,,173.7,173.7,173.7,175.4,176.2,173.7,175.4,176.2,,
0,73,20230503,13.4,13.4,13.4,13.5,13,13.5,,,,,173.3,172.9,172.9,175.8,173.3,172.9,,,,
0,74,20230503,14,14,14,14,13.3,13.3,13.5,13.7,,,174.1,174.1,174.1,174.1,173.3,173.7,172,172.5,,
0,75,20230503,14,14,14,13.1,13.1,13.1,13.1,13.2,,,170,170,170,175,175,175,172.9,176.2,,
1,76,20230503,13.9,13.9,13.2,13.1,13.1,13.2,13.2,13.2,,,172,172,173.7,175.8,174.5,172,172,172,,
0,77,20230503,14.8,14.8,14.8,13.1,13.2,13.6,13.6,13.3,,,167.9,167.9,167.9,173.3,171.6,176.6,172.9,173.7,,
0,78,20230503,13.8,13.8,13.2,13.2,13.2,13.2,13.2,13.2,,,170.8,170.8,173.3,172.9,172.9,176.6,176.6,176.6,,
1,79,20230503,13.6,13.6,13.6,13.1,13,13.3,13.3,13.2,,,170.8,170.8,170.8,174.1,171.6,176.2,174.1,175,,
1,80,20230503,14.8,14,14,13.2,13.2,13.2,13.2,13.4,,,156.6,173.7,173.7,175,172,172,172,175.8,,
0,81,20230503,13.4,13.1,13.1,13.5,13.8,13.2,12.9,13.3,,,172.5,173.3,173.3,172.9,172.9,173.7,176.2,127,,
1,82,20230503,14.7,14.7,13.6,13.5,14,14,14.1,,,,177,177,174.5,174.5,175,173.7,140.8,,,
0,83,20230504,13.1,13.1,13.6,13.1,13.2,13.5,13.5,,,,177,177,173.3,173.7,172,173.7,172,,,
0,84,20230504,13.4,13.3,13.5,13.4,13.7,13.3,13.5,13.5,13.5,,175.8,174.5,173.3,172.5,171.2,173.3,174.5,174.5,174.5,
1,85,20230504,13.4,13.4,13.4,13.2,13.2,13.2,13.2,,,,172,172,175,175.4,174.5,173.3,173.3,,,
1,86,20230504,13.3,13.1,13.3,13.6,13.8,13.4,13.6,13.6,13.6,,175,173.3,173.3,174.5,176.6,172,170.8,170.8,170.8,
0,87,20230504,13.6,13.6,13.3,13.8,13.8,13.5,13.7,13.7,13.7,,173.3,173.3,175,176.2,172,172,175.8,175.8,175.8,
0,88,20230504,13.6,13.1,13.6,13.6,13.6,13.1,13.4,,,,177,172.9,171.6,171.6,171.6,173.3,177,,,
0,89,20230504,14.1,14.1,14.1,13.5,13.4,13.6,13.5,13.6,13.6,13.6,163.7,163.7,163.7,176.6,172.9,172.5,173.3,175.8,175.8,175.8
1,90,20230504,13.5,13.5,13.5,13.3,13.2,13.3,13.1,13.3,,,169.5,169.5,169.5,171.6,172.9,173.3,173.3,165,1,
1,91,20230504,14,14,13.1,13.3,13.3,13.3,13.4,13.1,,,174.5,174.5,177,175.4,175.4,175.4,172,169.5,,
1,92,20230504,13.5,13.5,13.5,13.4,13.6,13.4,13.2,13.2,,,175.4,175.4,175.4,176.2,174.1,172.5,173.7,174.1,,
0,93,20230504,13.9,13.9,13,13.5,13.5,13.5,13.4,13.5,,,171.2,171.2,175.4,177,175,173.3,174.1,173.3,,
1,94,20230504,13.7,13.7,13.1,13.1,13.1,13.3,13.3,13.2,,,174.5,174.5,176.6,176.6,176.6,173.3,173.3,177.5,,
1,95,20230504,14,14,14,13.3,13,13.2,13.3,13.5,13.5,13.5,167.5,167.5,167.5,174.1,173.3,173.7,175.8,177,177,177
0,96,20230504,19.7,19.7,19.7,13,13.5,13.5,13.6,13.1,,,168.3,168.3,168.3,177,173.3,174.1,173.7,172.5,,
1,97,20230504,13.8,13.8,13.8,13.3,14.1,13.4,13.4,13.4,,,171.2,171.2,171.2,173.3,174.5,173.7,173.7,173.7,,
0,98,20230504,16.3,16.3,16.3,13.3,13.2,13.1,13.1,13.1,,,167,167,167,175.4,172,175.4,173.7,172.5,,
0,99,20230504,14,13,13,13,13.4,13.3,13.5,13.3,,,148.7,170.4,170.4,173.3,174.1,174.5,173.7,173.3,,
1,100,20230504,13.5,13.5,13.3,13.3,13.4,,,,,,175.8,175.8,173.7,176.2,174.1,,,,,
0,101,20230504,13.3,13.3,13.3,13.3,13.4,13,13.5,,,,172,172,172,171.6,175.8,172.5,172,,,
0,102,20230504,13.1,13,13.2,13.1,13.2,13.2,13.2,,,,173.7,174.5,173.3,175.8,173.3,173.3,173.3,,,
1,103,20230504,13.2,13.6,13.4,13.5,13.9,13.3,13.9,,,,173.7,173.3,175,176.2,172,174.1,167.9,,,
1,104,20230504,19.6,19.6,13.1,13.1,13.1,13,13.1,13.1,,,145.4,145.4,174.1,174.1,174.1,173.3,172.9,172.5,,
1,105,20230504,13.2,13,13,13,13,13.3,13.2,,,,175.4,176.6,173.3,173.3,173.3,172.9,128.7,,,
1,106,20230504,14,14,13.4,13.2,13.2,13.2,13.4,13.3,,,172,172,176.2,173.3,173.3,172.5,176.2,126.6,,
0,107,20230504,13.4,13.4,13.1,13.2,13.1,13.3,13.2,,,,177.5,177.5,175.4,174.5,175,175.4,165.8,,,
1,108,20230504,13.5,13.5,13.5,13.5,13.7,13.4,13.6,,,,172.9,172.9,172.9,172.9,173.3,173.3,174.1,,,
1,109,20230504,13.1,13.1,13.1,13.2,13.1,13.6,13.3,,,,173.7,173.7,174.5,177,174.1,172,167.5,,,
1,110,20230504,13.4,13.3,13.8,13.3,13.6,13.5,13.2,,,,173.3,174.1,172,175.4,173.3,173.7,163.3,,,
1,111,20230504,14,14,13.5,13.6,13.9,13.4,13.2,13.5,,,174.5,174.5,172.9,172,172.9,176.6,173.3,172.5,,
1,112,20230504,13.3,13.3,13.3,13.2,13.5,14,13.6,,,,173.3,173.3,173.3,175.8,172.9,172.5,135.8,,,
