label,num,date,vtg1,vtg2,vtg3,vtg4,vtg5,vtg6,vtg7,vtg8,vtg9,vtg10,crt1,crt2,crt3,crt4,crt5,crt6,crt7,crt8,crt9,
1,113,20230504,13.5,13.8,13.4,13.4,13.4,13.3,13.5,,,,177,175.8,171.2,171.2,171.2,173.3,124.1,,,
1,114,20230504,13.1,13.1,13.6,13.5,13.5,13.5,13.6,,,,172.9,172.9,176.6,175.4,175.4,175.4,173.7,,,
0,115,20230504,13.7,13.7,13.3,13.3,13.3,13.2,13.3,,,,175.4,175.4,172,172.5,173.7,175.4,173.3,,,
1,116,20230504,13.3,13.6,13.3,13.9,13.8,13.5,13.5,13.5,,,173.3,174.5,174.5,174.5,175.4,172.5,172.5,172.5,,
0,117,20230504,13.3,13.6,13.7,13.9,13.4,13.1,13.4,,,,175.8,172.9,174.1,173.7,175.4,176.2,120,,,
1,118,20230504,13.8,13.8,13.4,13.4,13.4,13.5,,,,,175.4,175.4,172.9,175.8,172.9,173.7,,,,
0,119,20230504,13.8,13.8,13.8,13.5,13.5,13.5,13.4,,,,175.4,175.4,175.4,172.5,173.7,175.8,137.9,,,
0,120,20230504,13.8,13.8,13.5,13.8,14,13.6,13.6,13.6,,,172,172,175.4,176.2,172.9,177.5,177.5,177.5,,
0,121,20230504,13.5,13.5,13.8,13.2,13.5,13.5,13.6,,,,172.9,172.9,172,170.8,173.3,176.6,171.6,,,
1,122,20230504,14.2,14.2,13.5,13.4,13.4,13.5,13.4,13.6,13.8,,165.8,165.8,173.3,172.5,173.3,174.5,173.3,171.6,174.1,
1,123,20230504,13.6,13.6,13.6,13.4,13.5,13.8,13.8,13.4,13.4,13.4,171.2,171.2,171.2,175.8,175,175.4,172.5,172.5,172.5,172.5
0,124,20230504,13.1,13.1,13.1,13.3,13.4,13.4,13.5,13.5,,,173.3,173.3,173.3,175,173.3,176.2,173.3,174.1,,
0,125,20230504,13.5,13.5,13.5,13.5,13.4,13.5,13.5,,,,172,173.3,173.3,176.2,173.7,174.1,175,,,
0,126,20230504,13.8,13.6,13.8,13.4,13.2,13.2,,,,,174.1,173.7,175,175.8,172.5,167,,,,
1,127,20230504,14.1,14.1,13.3,13.3,13.3,13.1,13.3,13.5,,,167.5,167.5,173.3,173.3,173.3,175.8,172.9,174.5,,
0,128,20230504,13.7,13.7,13.6,13.6,14,13.6,13.6,13.6,13.6,,171.2,171.2,175.8,175.4,173.7,173.3,172,172,172,
1,129,20230504,15.8,15.8,15.8,13.2,13.6,13.8,13.1,13.4,,,169.1,169.1,169.1,176.2,173.7,170.4,173.3,175.4,,
1,130,20230504,14.1,14.1,14.1,13.5,13.5,13.6,13.7,13.6,,,170.8,170.8,170.8,173.3,172,172.9,174.5,175.4,,
0,131,20230504,13.3,13.5,13.3,13.5,13.3,13.6,,,,,174.5,172.9,175.4,173.3,175,169.5,,,,
0,132,20230504,13.4,13.4,13.4,13.5,13.9,13.5,13.6,,,,175.4,175.4,175.4,173.7,175.4,172.5,173.7,,,
0,133,20230504,13.2,13.2,13.5,13.5,13,13.3,,,,,176.2,176.2,173.3,174.1,176.2,174.5,,,,
0,134,20230504,13.1,13.1,13.1,13.5,13.3,13.3,13.3,,,,177,177,177,173.7,174.1,175.4,175.4,,,
0,135,20230504,13.7,13.7,13.7,13.6,13.4,13.3,13.8,,,,174.1,174.1,174.1,175.8,177,177,135,,,
0,136,20230504,16.9,16.9,13.6,13.3,13.7,13.6,13.6,13.6,,,164.5,164.5,173.7,173.3,175.4,175.8,175.8,175.8,,
1,137,20230504,13.3,13.5,13.3,13.3,13.8,13.3,13.4,,,,173.3,177,175.8,173.7,173.3,173.3,172.9,,,
0,138,20230504,13.1,13.5,13.6,13.9,13.5,13.5,,,,,173.7,172.5,172,170.8,173.3,173.7,,,,
1,139,20230504,13.2,13.2,13.2,13.2,13.4,13.3,13.6,,,,174.1,174.1,174.1,174.1,173.3,171.6,171.6,,,
0,140,20230504,13.6,13.6,13.6,13.3,13.6,14.1,13.4,13.2,,,174.5,174.5,174.5,172.5,170.8,173.7,175.4,174.1,,
0,141,20230504,13.9,13.9,13.3,13.2,13.3,13.3,13.3,13.6,,,171.6,171.6,173.3,174.1,172.5,172.5,172.9,124.1,,
1,142,20230504,16.5,13.5,13.5,13.8,13.6,14,13.5,13.6,,,161.6,172,172,174.1,173.3,175.4,172.9,172.9,,
0,143,20230504,15,13.4,13.4,13.2,13.6,13.6,13.3,13.4,,,170.8,176.2,176.2,172,172.9,173.3,173.3,175,,
0,144,20230504,13.6,13.6,13.2,13.4,13.3,13.4,13.3,13.4,,,172.5,172.5,175,172,172.5,172.9,172.9,150.4,,
1,145,20230504,13.5,13.3,13.3,13.1,13.1,13.2,13.2,,,,177,173.3,173.3,174.1,172.5,171.6,165.4,,,
0,146,20230504,13.3,13.3,13.4,13.2,12.8,,,,,,173.7,173.7,173.3,173.7,122,,,,,
1,147,20230504,13.2,13.2,13.5,13.4,13.4,13.1,13.1,13.1,,,173.3,173.3,172.5,173.7,175.4,175.8,175.8,175.8,,
0,148,20230504,13.3,13.2,13.1,13.6,13.8,13.4,13.5,,,,172.9,172.9,173.7,174.5,173.7,172,122.5,,,
0,149,20230510,13.7,13.1,13.2,13.2,13.2,13.2,13.2,13.3,13.3,13.3,175.4,177,175.4,174.1,174.1,174.1,174.1,178.7,178.7,178.7
0,150,20230510,13.4,13.3,13.2,13.2,13.2,13.2,12.9,13.2,13.2,13.2,171.6,176.6,175.8,174.5,174.5,177,174.1,124.5,124.5,124.5
0,151,20230510,13.6,13,13.1,13,13,13,13.1,13,13,13,172,177.5,178.3,176.2,176.2,176.2,175,175,175,175
0,152,20230510,17.2,13.4,13.1,13.1,13.1,13.3,13.3,13.3,,,167.5,175,174.5,174.5,174.5,173.7,173.7,173.7,,
0,153,20230510,13.5,12.9,12.9,12.9,13.3,13,13.1,13,,,174.1,176.2,176.2,176.2,177.5,174.1,174.5,129.5,,
0,154,20230510,13.8,13.2,13.6,13.6,13.6,13.3,13.3,13.3,,,173.3,174.5,177.5,177.5,177.5,174.1,174.1,174.1,,
0,155,20230510,15,13.4,13,13,13,13.1,13.2,12.9,,,172.5,173.3,174.1,174.1,174.1,178.7,177.9,175,,
0,156,20230510,13.5,13.3,13.1,13.2,13.2,13.2,12.9,12.8,,,172.5,175.4,177.5,177,177,177,173.7,175.4,,
1,157,20230510,13.9,13.2,13.2,13.2,13.1,13.1,13.1,12.7,,,165.4,175.4,175.4,175.4,174.1,174.1,174.5,177.9,,
1,158,20230510,12.8,12.8,13.1,13.1,13,13,13.1,,,,173.3,173.3,176.6,175.8,175.4,173.7,173.7,,,
0,159,20230510,13.6,13.2,13.2,13,13.1,13.1,13.1,13.1,,,172.5,177.9,177.9,174.1,178.7,176.2,175.4,175.8,,
1,160,20230510,13,13,13.1,12.8,13.2,12.8,,,,,176.2,176.2,173.7,176.6,176.2,175,,,,
1,161,20230510,13.1,13.1,13.2,13.4,13.1,13,13,13,,,174.1,177.5,176.6,174.1,174.1,175.4,175.4,175.4,,
1,162,20230510,13.4,13.4,13.4,13.4,13.3,13.3,13.2,13.3,13.3,13.3,169.1,169.1,169.1,177.5,174.1,173.7,176.2,173.7,173.7,173.7
1,163,20230510,13.7,13.7,13.7,13.2,13.3,13.3,12.9,12.9,,,172.5,172.5,172.5,177.5,174.1,174.5,175,174.5,,
0,164,20230510,13.5,13.5,13.2,13.5,13.1,13.1,13.1,13.1,,,172.9,172.9,175.4,174.5,175,177.9,177.9,177.9,,
1,165,20230510,13.5,13.2,13.2,13.3,13.1,13.1,13.1,12.9,,,173.7,173.7,173.7,173.3,173.3,173.3,173.3,157.5,,
0,166,20230510,13.6,13.6,13.6,13.2,13.1,13.1,13,13,13,13,175.4,175.4,175.4,174.1,172.9,174.5,176.2,176.6,176.6,176.6
0,167,20230510,13.8,13.8,13.8,13.3,13.2,13.1,12.8,13.2,,,172.9,172.9,172.9,175,174.1,175,175,174.1,,
0,168,20230510,14.6,14.6,14.6,12.8,13,12.9,13,12.9,,,165.4,165.4,165.4,175.4,175.4,174.5,175.4,175,,
0,169,20230510,12.9,12.7,12.7,12.9,13,13.2,12.9,,,,174.1,175.4,175.4,173.7,175.8,174.5,178.3,,,
1,170,20230510,15.1,15.1,15.1,13,13.1,13,13.1,,,,172,172,172,175.4,177,176.6,175.4,,,
1,171,20230510,12.8,13.5,13.5,12.9,12.9,12.9,13,12.8,12.8,,174.5,170,170,174.1,174.1,174.1,175.4,175.4,174.1,
0,172,20230510,13.1,13.1,13,13.1,13.1,13.4,,,,,174.5,174.5,175.4,175.4,174.1,173.7,,,,
1,173,20230510,13.4,13.1,13.1,13.1,13.1,13.1,,,,,173.7,174.1,177,177,177,173.7,,,,
1,174,20230510,13.2,13.2,13.2,13.2,13.3,,,,,,175,175,177.9,175.4,175.4,,,,,
1,175,20230510,14.6,14.6,13,13.1,13,13,12.8,13,,,166.6,166.6,175,175.8,175.8,175.8,173.7,175,,
0,176,20230510,13.1,13.1,13.1,13.1,12.8,12.8,12.4,,,,174.1,174.1,175.4,173.7,174.1,175.4,130,,,
1,177,20230510,13.1,13.3,13.3,12.8,13.2,12.7,,,,,175,176.2,176.2,176.2,175.4,126.6,,,,
0,178,20230510,12.8,12.8,13.1,13.1,13.1,13,,,,,175,175,175,175,176.2,175.4,,,,
0,179,20230510,13.6,13.6,13.6,13.1,13.1,13.1,13,13,,,173.3,173.3,173.3,173.7,173.7,173.7,177,174.5,,
1,180,20230510,13.3,13.3,13.3,13,13.3,13.1,13.1,13.1,,,172,172,177,177.9,174.1,175.4,175.4,175.4,,
1,181,20230510,13,13,13,13.1,13,13.1,,,,,175.8,175.8,175,177,174.1,174.1,,,,
1,182,20230510,18.3,18.3,18.3,13,13.1,12.9,13,12.8,,,168.3,168.3,168.3,177.5,174.5,173.3,177,174.1,,
1,183,20230510,13,12.9,13.1,13,12.9,13,12.9,,,,174.1,175,173.7,172,176.6,173.3,157,,,
0,184,20230510,13.1,13.1,13.1,13.1,13.2,13.1,13.1,,,,173.7,174.1,177.5,177.5,174.1,173.3,122.9,,,
0,185,20230510,17,13.3,13.2,13.2,13.2,13.1,13,13.4,,,164.1,171.6,175.4,175.4,175.4,174.1,175.4,174.5,,
0,186,20230510,16.9,13.2,13.2,13.2,13.6,13,13.1,13.1,,,159.5,173.7,173.7,173.7,177.5,175.4,173.7,177,,
0,187,20230510,13.4,13.1,13.2,13.1,13.1,13.1,13.1,,,,177.9,173.3,175.8,178.3,175.8,175.8,172.9,,,
0,188,20230510,12.9,13.2,13.2,13,12.9,12.9,,,,,175,173.7,173.7,173.7,173.7,126.6,,,,
1,189,20230510,13.5,13.5,13.1,13,13.1,13.2,,,,,174.1,174.1,173.3,174.5,175,125.4,,,,
0,190,20230510,15.4,13.8,13.8,13.8,13.8,13.2,13.1,13.1,,,164.5,173.3,173.3,173.3,173.3,173.3,173.7,178.3,,
1,191,20230510,16.5,13.4,12.9,12.9,12.9,13.1,13,13.1,,,165.8,172.9,177.9,177.9,177.9,174.1,173.3,175.4,,
1,192,20230510,13.4,13.3,13.1,13.4,13.4,13.1,13.1,13.1,,,171.6,173.3,177.5,172.9,172.9,176.2,177.5,128.7,,
0,193,20230510,18,13.3,13,13.1,13.1,13.5,13.1,13.1,,,169.5,177,175,174.1,174.1,177,175.8,175.4,,
0,194,20230510,13.1,13.1,13.7,13.1,13.2,13.1,,,,,175,175,177.9,175.4,177.9,176.6,,,,
0,195,20230510,13.2,13,13,13,12.9,13,13.1,,,,172,175,175,175,172.9,175.4,175.4,,,
0,196,20230510,13.6,13.1,13.1,13.1,13.1,13.1,13.6,13.1,,,171.2,177,177,177,177,174.1,175.4,138.7,,
0,197,20230510,13.5,13.2,13.2,13.2,12.7,13.1,13.1,13.1,13.1,,172.5,173.3,173.3,175,172,175.8,174.5,174.5,174.5,
0,198,20230510,13.4,13.5,13.5,13.5,13.1,13.3,13.3,13.5,,,170.4,173.7,173.7,173.7,173.3,175.4,174.1,174.1,,
0,199,20230510,14,14,14,14,13.2,13.1,13.1,13.1,,,162.5,162.5,162.5,162.5,175,175.8,173.3,177.9,,
0,200,20230510,13.5,13.3,13.3,13.3,13.2,13.2,13.2,13.1,,,169.5,174.5,174.5,174.5,174.5,174.5,174.5,175.4,,
1,201,20230510,13.3,13,13.1,13.1,13.1,13,13.1,12.8,12.8,12.8,172.9,178.3,175.4,175.4,173.7,175,175.4,135,135,135
0,202,20230510,13.5,13,13.1,13.1,13.1,13,13.1,13.1,13.1,,174.5,174.1,175.4,175.4,175.4,172.9,172.5,172.5,172.5,
0,203,20230510,13.7,13.4,13.4,13.4,13.1,13.3,12.9,13.2,13.2,13.2,170.4,174.1,174.1,174.1,175.8,174.5,174.5,175.4,175.4,175.4
1,204,20230510,13.7,13.1,13.1,13.1,13.1,13.1,13.1,13.1,,,171.6,175.4,175.4,175,173.7,173.7,173.7,174.5,,
0,205,20230510,16.4,13.1,13.1,13.1,13.1,13.1,13.1,13.1,,,164.5,173.7,173.7,175.4,175.4,176.2,176.2,176.2,,
1,206,20230510,16,12.9,13,13,13.4,13.3,13.1,12.9,,,169.1,173.3,174.1,174.1,175,176.6,176.6,177,,
1,207,20230510,13.4,13.4,13.4,12.9,12.8,12.8,12.8,12,,,172,172,172,175,176.6,172.9,177.9,124.5,,
0,208,20230510,13.4,13.4,13.4,12.9,13,13,13,12.8,,,169.1,169.1,169.1,172.9,173.7,173.7,173.7,173.7,,
1,209,20230510,19.2,19.2,19.2,19.2,19.2,13.3,13.2,13.3,,,166.6,166.6,166.6,166.6,166.6,176.2,175,174.5,,
1,210,20230510,13.7,13.7,13.1,13,13,13,13,13,,,173.3,173.3,175,175.8,174.5,172.5,172.5,172.5,,
0,211,20230510,13.1,13.1,13,13.1,12.9,13,12.9,12.9,,,171.6,171.6,177,172,176.2,173.3,172.9,135,,
0,212,20230510,13.9,13.1,13.1,13,13.1,13,13.1,13.1,,,170.4,176.6,176.6,172,173.7,175,173.7,178.7,,
0,213,20230510,13.3,13.3,13.8,13.1,13.1,13.3,13.1,,,,13.3,13.3,13.8,13.1,13.1,13.3,13.1,,,
1,214,20230510,13.1,13.3,13.6,13.3,13.5,13.4,,,,,175,176.2,173.3,174.1,174.5,169.5,,,,
0,215,20230510,13.1,12.9,12.9,12.9,13.2,13.1,13,,,,177.5,175.4,175.4,175.4,176.2,173.7,173.7,,,
0,216,20230510,13.6,13.6,13.6,13.3,13,13.2,13.2,,,,174.5,174.5,174.5,174.5,176.6,173.7,174.1,,,
1,217,20230510,13,13,13.1,12.7,12.7,12.7,13.3,,,,174.5,174.5,174.5,173.3,173.3,173.3,175.8,,,
1,218,20230510,13.1,13,13.1,13.1,13.1,13.1,13.1,,,,176.6,177.5,176.6,176.6,176.6,175.4,133.7,,,
0,219,20230510,13.1,13.2,13.2,13.1,13.1,13.2,13.2,13.2,,,175.4,174.1,174.1,175.4,174.5,173.3,173.3,173.3,,
0,220,20230510,13.1,12.9,13.3,13.3,13.1,13.2,13.3,,,,175,175,176.6,178.7,176.6,175,174.5,,,
0,221,20230510,13.6,13.6,13.3,12.9,13,13.5,13.5,13.2,12.9,13.2,174.5,174.5,173.7,173.3,177.9,173.3,173.3,174.1,177.5,174.5
0,222,20230510,13.8,13.8,13.1,13,13.1,13.1,13.1,13.1,13.1,,173.7,173.7,174.1,176.6,176.2,177,177.5,177.5,177.5,
0,223,20230510,13.8,13.8,13.3,13.1,12.9,13.2,13.2,,,,174.1,174.1,173.7,174.1,176.6,177,175,,,
0,224,20230510,13.1,13.1,13,13.2,13.1,13.1,12.9,,,,174.1,174.1,173.3,172.9,176.2,174.5,173.3,,,
